Subject,Channel,Delta,Theta,Alpha,Beta,Gamma
sub-002,0,2.2556476254058809e-10,2.5975216238006143e-11,9.029290237581254e-12,9.519248887717606e-12,2.3222159287583224e-12
sub-002,1,2.2457188533647092e-10,2.5857918066034376e-11,8.806512066990637e-12,9.527266108369388e-12,2.3249033327848627e-12
sub-002,12,2.3009175912768775e-10,4.305213334317434e-11,1.965438943304961e-11,1.1890748521116512e-11,2.3449127691217e-12
sub-002,13,2.2932798898313466e-10,4.0630775991050295e-11,1.7452428814821046e-11,1.1357214522609502e-11,2.352942625140173e-12
sub-002,10,2.335034314599428e-10,6.182038465797495e-11,3.082877845005e-11,1.346269858639749e-11,2.721376168739498e-12
sub-002,11,2.321605437112293e-10,5.763232538452951e-11,2.762680821281196e-11,1.2849205763844911e-11,2.710684811347575e-12
sub-002,5,2.380191762288946e-10,4.259426053866818e-11,1.854306325088008e-11,1.6962862577271342e-11,6.8744152949908735e-12
sub-002,6,2.3144518101350583e-10,3.81445294834811e-11,1.5699080394367198e-11,1.4986893940258798e-11,6.3253683840654665e-12
sub-002,15,2.3596080499797227e-10,4.121340110115984e-11,1.9201847233829948e-11,1.5894960311931906e-11,6.3989180287974336e-12
sub-002,16,2.3185023545022008e-10,3.3886351401788745e-11,1.3594544331019024e-11,1.4848757897418343e-11,7.197700619402939e-12
sub-002,17,2.347499193222017e-10,5.830338173625712e-11,2.882301029385951e-11,1.4517555703294807e-11,2.961385106640304e-12
sub-002,18,2.3441237074706184e-10,5.859432903714475e-11,2.74409833144968e-11,1.3675883827223186e-11,3.03343244446303e-12
sub-002,9,2.3178577486795166e-10,3.4983596133105077e-11,1.6242603959536225e-11,1.2530401609013611e-11,2.522046373397624e-12
sub-002,2,2.2746091053884577e-10,2.768896659786993e-11,1.1081254213244159e-11,1.0749518488227658e-11,2.18116765474425e-12
sub-002,14,2.2907173549469812e-10,4.297220504256056e-11,1.8444414648973124e-11,1.1882570772785623e-11,2.3712263266024557e-12
sub-003,7,2.1226254907594918e-10,5.701036722262403e-11,2.4994451602110377e-11,1.0927951265284344e-11,2.537972250630506e-12
sub-003,8,2.1450439343021318e-10,5.6710808194837435e-11,2.3919064724955864e-11,1.0851096206158488e-11,2.414916920117877e-12
sub-003,3,2.0331044140481719e-10,4.292322542317609e-11,1.870300132194613e-11,1.0535892715957875e-11,2.6468731082551965e-12
sub-003,4,2.0345602481446022e-10,4.181354633621347e-11,1.599003947570921e-11,1.012992623195133e-11,2.178258423710541e-12
sub-003,0,1.9215970015853262e-10,3.130899562981329e-11,1.3848218004716984e-11,9.243831413147002e-12,1.7520802149976717e-12
sub-003,1,1.941080948295525e-10,3.1808902701987154e-11,1.4394910488253122e-11,9.16922705984593e-12,1.7609069054298004e-12
sub-003,12,2.0225773122007742e-10,4.842397626555972e-11,2.234333383219924e-11,1.0961381831602283e-11,1.9891537007773312e-12
sub-003,13,2.0001945050488484e-10,5.5032303931093575e-11,3.326938563357585e-11,1.0959544993941659e-11,1.902115486114583e-12
sub-003,10,2.1784268002703486e-10,6.986501996540027e-11,3.3087327511788594e-11,1.1713759193250118e-11,2.063143174925438e-12
sub-003,11,2.1851855084741967e-10,7.035058440369734e-11,3.954103874587765e-11,1.2450757543348263e-11,2.148729644245087e-12
sub-003,5,2.1271988079345116e-10,5.5236665415961324e-11,2.4729979338059904e-11,1.1175975516752838e-11,2.5764179085873214e-12
sub-003,6,2.119907023417609e-10,5.515737547701496e-11,2.3241840734139345e-11,1.1240071635931796e-11,2.606730304079406e-12
sub-003,15,2.0428470024194748e-10,4.737244149878913e-11,2.1189571707224545e-11,1.031938293174572e-11,2.1176119768145825e-12
sub-003,16,2.0099355763449734e-10,4.608450969672292e-11,1.920069750684267e-11,1.0288639885324151e-11,2.3865791090130448e-12
sub-003,17,2.1959849486811547e-10,8.226846738456469e-11,3.773441529613122e-11,1.1896523709489218e-11,2.440481869398923e-12
sub-003,18,2.164633870081019e-10,9.972978259258965e-11,5.970770622528755e-11,1.2577067025871988e-11,2.153256788764801e-12
sub-003,9,2.0554910570614917e-10,4.9261628053185583e-11,2.0242157618366897e-11,9.98116707953504e-12,2.057414109446732e-12
sub-003,2,1.995168553004169e-10,3.2853959049244556e-11,1.2609693443836674e-11,9.574426321223467e-12,2.033001384330078e-12
sub-003,14,1.9990666515162447e-10,4.607536946412062e-11,2.4115673710570703e-11,1.0187799786910602e-11,1.8969192053873832e-12
sub-004,7,6.24096578504679e-10,4.5310509090691565e-11,1.1319552827140923e-11,2.962685331048585e-11,2.056081106111818e-11
sub-004,8,3.4174421132395074e-10,3.873135235110947e-11,1.0720502525694184e-11,2.7271122240186943e-11,1.8116707736837387e-11
sub-004,3,2.6310630807641194e-10,3.3921623814583864e-11,9.597804287253187e-12,2.608995609850725e-11,2.5468940968410534e-11
sub-004,4,2.580257634001094e-10,3.2175606853573286e-11,9.055431932227771e-12,1.5526232584382055e-11,8.467310720148229e-12
sub-004,0,2.4803202179591786e-10,2.979284749355139e-11,7.797189953256479e-12,9.83905553244235e-12,3.86346358727503e-12
sub-004,1,2.4670476115208485e-10,2.897223260552468e-11,7.675899280670963e-12,9.675012641750068e-12,3.646329100247442e-12
sub-004,12,2.5804028261708435e-10,2.9733922811638185e-11,8.057085486144166e-12,9.477921008089995e-12,3.1847996793416014e-12
sub-004,13,2.5781203201789775e-10,2.997946776400044e-11,8.044778517834673e-12,1.0414736489318156e-11,4.3720409537990206e-12
sub-004,10,2.7786735346127686e-10,3.124853915766041e-11,8.621251752939522e-12,1.0982451264348183e-11,4.74053261702958e-12
sub-004,11,2.720830113479882e-10,3.108028698814728e-11,8.347647882615967e-12,1.1175592180864436e-11,5.321719008607203e-12
sub-004,5,2.897503890319403e-10,4.359827658927708e-11,1.0688627478774487e-11,2.4033651951667822e-11,2.0795074480210507e-11
sub-004,6,2.6472953264336706e-10,3.918831390873048e-11,1.0378098003569723e-11,1.615989889178059e-11,9.180090874754092e-12
sub-004,15,2.6710214918178613e-10,4.016440792648232e-11,9.321344592691047e-12,1.6369911223464314e-11,9.790224621972406e-12
sub-004,16,2.562330397460312e-10,3.442563113085739e-11,9.33239466795405e-12,2.058834835932796e-11,1.3335255866660056e-11
sub-004,17,2.57994508841472e-10,3.133681035628433e-11,8.191577655524509e-12,1.0645773016495508e-11,4.585796679335575e-12
sub-004,18,2.6007142116249376e-10,3.086075963568102e-11,8.257835403404968e-12,1.1252699384397403e-11,5.597153830651647e-12
sub-004,9,2.674094680520675e-10,3.3334227846912076e-11,8.670597401664334e-12,1.0640882102950578e-11,3.649892713701415e-12
sub-004,2,2.5410211811327983e-10,2.7952181942128338e-11,7.883971163012723e-12,9.935650035566889e-12,2.875560845920104e-12
sub-004,14,2.539533074602994e-10,2.8414984504515492e-11,7.789140897001103e-12,9.367221173589114e-12,3.3504418348935138e-12
sub-005,7,5.17496994178545e-10,3.94598438519184e-11,1.2232935513813243e-11,2.4969774397361427e-11,1.222655765725727e-11
sub-005,8,4.0530254847845107e-10,3.967408291760265e-11,1.228203144175298e-11,2.4159598921440223e-11,1.4080000433826322e-11
sub-005,3,3.073820057479088e-10,3.727232702326857e-11,1.2221172202025347e-11,1.6648171684343458e-11,6.0335498734027375e-12
sub-005,4,3.5229568746788227e-10,3.99400556533181e-11,1.2750494546921538e-11,1.6643621883237676e-11,5.687980562597108e-12
sub-005,0,2.6049493971397576e-10,3.066034693398351e-11,9.37043123583934e-12,1.0501920204739189e-11,2.7337881063417057e-12
sub-005,1,2.592395221976027e-10,3.081449701984151e-11,9.208622472886664e-12,1.0231795213286504e-11,2.669973249747948e-12
sub-005,12,2.8070437742435344e-10,3.2368235776150906e-11,1.0941432022458644e-11,1.1848723974234452e-11,3.158315475791051e-12
sub-005,13,2.675463083743256e-10,3.1674408998177305e-11,1.068321895403122e-11,1.215702018750902e-11,2.914994674317453e-12
sub-005,10,2.8539265410753423e-10,3.5066415837794464e-11,1.345171416262126e-11,1.6060659482189063e-11,4.621697139745154e-12
sub-005,11,2.7151689798066126e-10,3.3725106105006057e-11,1.363670282450652e-11,1.7044144473069062e-11,5.097136685764543e-12
sub-005,5,3.5414939419838615e-10,3.8939782465866015e-11,1.2521179821047076e-11,2.188113890917305e-11,1.4061204826464389e-11
sub-005,6,3.218979855971703e-10,4.164426209143878e-11,1.3071698061477454e-11,1.7328315017545357e-11,7.308280023682435e-12
sub-005,15,2.7498057104142e-10,3.8430532413444425e-11,1.2058455264640295e-11,2.135796908480525e-11,1.4822990238383156e-11
sub-005,16,2.677969461746737e-10,3.7381600575685715e-11,1.1720934370316305e-11,1.5343558924756247e-11,6.3422149305580025e-12
sub-005,17,2.7362229726708696e-10,3.7342838283569806e-11,1.3924953567030027e-11,1.550397431898073e-11,4.720729497077703e-12
sub-005,18,2.6483656929161267e-10,3.4302389416317155e-11,1.2807240945220666e-11,1.569907291037826e-11,4.651946675541897e-12
sub-005,9,2.7088743060846125e-10,3.123905137893714e-11,9.868658858539344e-12,1.1661610072611613e-11,2.678551480301081e-12
sub-005,2,2.6697349252874557e-10,2.9816877958147195e-11,8.974860801396047e-12,1.0149435297481896e-11,2.124453024182396e-12
sub-005,14,2.653296979042562e-10,3.0561233894829294e-11,1.0110458011361468e-11,1.1252543248453351e-11,2.7772193265215864e-12
sub-006,7,2.9734889825196613e-10,3.1143532559727477e-11,5.896941199188458e-11,2.841910971558072e-11,8.917604150237189e-12
sub-006,8,2.8491978990961235e-10,3.0358638352715456e-11,5.916105757787828e-11,2.6443661835407623e-11,5.740275428405296e-12
sub-006,3,2.539101467063779e-10,2.7150630352909176e-11,4.043980114866791e-11,2.4030138817314835e-11,8.917875811735706e-12
sub-006,4,2.5094201817529837e-10,2.7067079118058607e-11,3.6776202532102126e-11,2.1987260085975684e-11,4.427487185466261e-12
sub-006,0,2.463085122983872e-10,2.423472280734011e-11,1.2426127253323838e-11,1.3928499657256257e-11,2.4659753771920465e-12
sub-006,1,2.4499893034370835e-10,2.4558014362096627e-11,1.2854557940768096e-11,1.4067674218168687e-11,2.407966156208056e-12
sub-006,12,2.4991481579691507e-10,2.7278951516815048e-11,5.812489471370447e-11,1.908547769353695e-11,2.5311056521515368e-12
sub-006,13,2.4895564680750537e-10,3.0460429686287946e-11,6.041629888025e-11,1.897675491966615e-11,3.026152322592014e-12
sub-006,10,2.5299813769444724e-10,3.2281778438299267e-11,7.933595463073319e-11,2.169118214228568e-11,3.946862927849814e-12
sub-006,11,2.5443794956938794e-10,3.1169781354722134e-11,5.286609112862309e-11,1.820381800480305e-11,4.133476076426724e-12
sub-006,5,2.6405517556258464e-10,3.085163280683812e-11,5.607771647968896e-11,2.863212108846281e-11,1.6301430380262423e-11
sub-006,6,2.631641346568464e-10,2.9554404428481057e-11,5.7521622155794006e-11,2.2996956702340058e-11,5.432522385908944e-12
sub-006,15,2.5405738038950866e-10,2.7396874954773935e-11,3.336106146130776e-11,2.2154183079580598e-11,8.521190390239969e-12
sub-006,16,2.539080503826852e-10,2.700394443759082e-11,3.175973372315826e-11,1.813665255008194e-11,4.247289656492434e-12
sub-006,17,2.5210520033846007e-10,2.911317388065859e-11,3.912469118340395e-11,1.9317005373328476e-11,4.355663290851848e-12
sub-006,18,2.5135281696479704e-10,3.1021509872949936e-11,4.0696551264538956e-11,1.9540362289507705e-11,4.304952515928739e-12
sub-006,9,2.525686977614905e-10,2.6718491628018137e-11,3.9085194440734356e-11,2.0376244690457133e-11,2.7773972217931664e-12
sub-006,2,2.4714717153045446e-10,2.417230151647999e-11,9.200335873864543e-12,1.2004850087276179e-11,2.128169511572487e-12
sub-006,14,2.4805891351619323e-10,2.609287298244565e-11,5.3023158739821585e-11,1.5982250522803156e-11,2.254024685773924e-12
sub-007,7,3.466889891726892e-10,4.4552868829983655e-11,1.1305190417791098e-11,1.4179265549940823e-11,5.560591355624457e-12
sub-007,8,3.594653589016418e-10,4.3794939263135077e-11,1.1519965596052346e-11,1.5585834855110932e-11,6.48935453876761e-12
sub-007,3,2.5496008386388116e-10,3.422308910855522e-11,1.0072601514424534e-11,1.2898928016847703e-11,5.2566905917196206e-12
sub-007,4,2.4870014746371905e-10,3.039722323877608e-11,9.19501107953302e-12,1.1592086505222196e-11,3.7581517250843024e-12
sub-007,0,2.3354104288049377e-10,2.7641022735564543e-11,8.452761629129291e-12,9.537085219980894e-12,2.4467346205262973e-12
sub-007,1,2.3675477029511316e-10,2.716638011025957e-11,8.212938464050556e-12,9.709021493861406e-12,2.4001094453865112e-12
sub-007,12,2.437974100637732e-10,3.392840830331131e-11,9.898235649743568e-12,1.016836518753626e-11,2.4089304463474004e-12
sub-007,13,2.4321135969693606e-10,3.004872750812506e-11,9.181860284985044e-12,1.0360617670764004e-11,3.0941300014194466e-12
sub-007,10,2.4633433883718477e-10,3.417524535301969e-11,1.0236790935406484e-11,1.0553825189779014e-11,2.833549743598596e-12
sub-007,11,2.475214315349062e-10,3.21487089706002e-11,9.90209843994695e-12,1.109573430696685e-11,3.925755457906664e-12
sub-007,5,2.7392837495243407e-10,3.759020153816378e-11,1.114542587808546e-11,1.298187793571436e-11,5.373960816411454e-12
sub-007,6,2.7243533429643635e-10,3.552863296125758e-11,1.1050216532380076e-11,1.2447916759788791e-11,3.917455287398636e-12
sub-007,15,2.5730231692677016e-10,3.657195555731466e-11,1.0878095239665438e-11,1.1931867102038098e-11,4.1954891748620025e-12
sub-007,16,2.5333123707251665e-10,3.345047606395357e-11,1.0255687589118726e-11,1.2196907193984412e-11,4.377523267147219e-12
sub-007,17,2.5252979790855793e-10,3.766174820496933e-11,1.1280861218322275e-11,1.17400987794808e-11,3.571859867569782e-12
sub-007,18,2.4679490921877117e-10,3.39420197407378e-11,1.045642486393724e-11,1.2228502137976376e-11,5.0867995334815516e-12
sub-007,9,2.6239210799789877e-10,3.697227098288577e-11,9.871725636454265e-12,1.0982928128458547e-11,2.715310408976147e-12
sub-007,2,2.376387141611598e-10,2.7645548779244257e-11,8.672701654601496e-12,9.752313023200697e-12,2.2658533681061237e-12
sub-007,14,2.399579127184054e-10,2.7420589154926196e-11,8.318530146575142e-12,8.976946216146636e-12,2.1809954105413808e-12
sub-008,7,9.126410981257704e-09,1.5811796180600415e-09,6.396126195564497e-10,4.594095943745825e-10,1.2334270057328318e-10
sub-008,8,8.67631971844319e-09,1.5728223823160346e-09,6.352019942480275e-10,4.538422187699637e-10,1.200147518944982e-10
sub-008,3,8.526539090907696e-09,1.5405513724487043e-09,6.263647645321401e-10,4.5594217616424477e-10,1.1852714341828038e-10
sub-008,4,8.541311065116212e-09,1.5626038375293502e-09,6.295304832361643e-10,4.4306859090708334e-10,1.1353728513248332e-10
sub-008,0,8.423377971764883e-09,1.5193816336181486e-09,6.1891392123751e-10,4.55789417107938e-10,1.1923053450897558e-10
sub-008,1,8.4473759291186e-09,1.528594522835778e-09,6.21757837816137e-10,4.5548165556392076e-10,1.1815674464500508e-10
sub-008,12,8.437767894859693e-09,1.526894701311913e-09,6.182257378627541e-10,4.4858017574107666e-10,1.1374356329426672e-10
sub-008,13,1.5198392227201812e-08,5.073396382421759e-09,1.9219099607871367e-09,1.950117631714569e-09,1.7475245261944076e-09
sub-008,10,8.783556914603562e-09,1.5443583472653359e-09,6.199542865382964e-10,4.4189117051335997e-10,1.0727116874712983e-10
sub-008,11,8.591017053852126e-09,1.5414534455967815e-09,6.111215620499142e-10,4.1943167386790866e-10,9.975528264116221e-11
sub-008,5,9.040127867348296e-09,1.6521678802938424e-09,6.645017453455004e-10,4.863402393342949e-10,1.179019747265377e-10
sub-008,6,8.635510814754844e-09,1.5971823849825387e-09,6.407289040250624e-10,4.3827576717280357e-10,1.1959930952514628e-10
sub-008,15,8.652200913004963e-09,1.5744989641587e-09,6.239201599940629e-10,4.231842663662774e-10,1.0096828763157123e-10
sub-008,16,1.0527412873747329e-08,2.349351816424511e-09,7.584770183029351e-10,5.144613589517127e-10,1.2693524446528726e-10
sub-008,17,8.5135485001959e-09,1.5309121858846982e-09,6.116486424044825e-10,4.3296981781042384e-10,1.0476429950967687e-10
sub-008,18,8.867705957961223e-09,1.5587511468103326e-09,6.246011705617358e-10,4.3339373603880814e-10,1.0778291042220948e-10
sub-008,9,8.63177545646785e-09,1.5607936731443242e-09,6.33648254559817e-10,4.5872757032481207e-10,1.1826355130296984e-10
sub-008,2,8.513233945708318e-09,1.5322321150742635e-09,6.233269123735905e-10,4.5682286765555916e-10,1.1748059135349794e-10
sub-008,14,8.562847487101787e-09,1.535677979297355e-09,6.208369107076387e-10,4.4513281708710595e-10,1.114153010966054e-10
sub-009,7,3.4344041168558675e-10,4.606500076711325e-11,3.249738394976446e-11,2.270863576406996e-11,6.1807339187483995e-12
sub-009,8,3.4479753968473437e-10,4.5286486874422235e-11,3.069678986570163e-11,2.4548946249226492e-11,6.435769818771234e-12
sub-009,3,2.5426504424487157e-10,4.095317691454397e-11,2.4882668397901182e-11,1.7484809850560644e-11,3.066572578277136e-12
sub-009,4,2.5204673167148917e-10,3.715683579243149e-11,1.97494414198806e-11,1.9434371740831045e-11,6.127371439379644e-12
sub-009,0,2.442386578336054e-10,2.8295168989684022e-11,1.1899356683267244e-11,1.166246321806635e-11,2.3343799473261968e-12
sub-009,1,2.4492197788889616e-10,2.8920376452651577e-11,1.2579093561866966e-11,1.205177562446458e-11,2.404017533662274e-12
sub-009,12,2.4669483289786247e-10,3.0253655793867466e-11,1.6864782134861755e-11,1.3073049488850878e-11,2.4080638437821507e-12
sub-009,13,2.485924965071322e-10,3.2669516756004856e-11,2.9735149485584265e-11,1.4912973148860506e-11,2.636578809810698e-12
sub-009,10,2.498961968583538e-10,3.255322490046817e-11,2.4913684084116696e-11,1.6485556920423652e-11,3.103996245986961e-12
sub-009,11,2.481325237441782e-10,3.2198017867473054e-11,3.4495641751808905e-11,1.6871086153636458e-11,2.866923465234429e-12
sub-009,5,2.671161659141997e-10,3.807662992154752e-11,3.329562500886576e-11,2.032802122243282e-11,5.163875435298644e-12
sub-009,6,2.6891983466013917e-10,3.7582883056687487e-11,2.8870979210681738e-11,2.2496053000897658e-11,7.157535295140691e-12
sub-009,15,2.5402302699431043e-10,3.7246233742561927e-11,2.7443865902431436e-11,1.5519150519430142e-11,3.0696038830610653e-12
sub-009,16,2.52000980855433e-10,3.340368378616873e-11,1.9901589094448148e-11,3.311372288012979e-11,2.1593312043401736e-11
sub-009,17,2.5197043536731305e-10,3.516084062478059e-11,2.4822862575606068e-11,1.7452876511066053e-11,3.61207119938862e-12
sub-009,18,2.5177546290941887e-10,3.6019749341562966e-11,2.9436645964743016e-11,1.8092366469504205e-11,3.8766602094986716e-12
sub-009,9,2.543096338900908e-10,5.082358882342324e-11,2.646799197960447e-11,1.771663138623666e-11,2.7408632965815824e-12
sub-009,2,2.4725014270700057e-10,3.6039284242457054e-11,1.557892401932843e-11,1.2824217423622717e-11,2.242659984486033e-12
sub-009,14,2.4526981637467277e-10,2.7608250994155908e-11,1.5529800478598548e-11,1.117421194967934e-11,1.952632195400622e-12
sub-010,7,2.4576076902268766e-10,2.4922656453872805e-11,9.314555166453525e-12,1.2807176464887602e-11,5.3224316418279416e-12
sub-010,8,2.422880619596586e-10,2.4635968721523816e-11,9.030525271894908e-12,1.22425557148048e-11,4.995746701815103e-12
sub-010,3,2.1893113084939479e-10,2.338349556266704e-11,8.208917982352579e-12,1.049653028805176e-11,3.691472568070563e-12
sub-010,4,2.1843923187255966e-10,2.3437113347988204e-11,8.22340071206723e-12,1.0599611984759506e-11,3.94072269636111e-12
sub-010,0,2.1451965355634798e-10,2.2767998222382665e-11,7.397133428636496e-12,9.488464295312209e-12,3.320670876676603e-12
sub-010,1,2.1441921569356182e-10,2.2716547495168184e-11,7.578481955907715e-12,9.621112699687268e-12,3.5467588634827466e-12
sub-010,12,2.1711837450208188e-10,2.3173557714919754e-11,9.706286428439128e-12,1.08191569680641e-11,3.1716010431731558e-12
sub-010,13,2.1682702497275484e-10,2.337336239785387e-11,1.2141579237047371e-11,1.2185837834771644e-11,2.9899905581020045e-12
sub-010,10,2.1762074724026155e-10,2.3943871454731632e-11,1.7387528230753925e-11,1.42421851134202e-11,3.2088014132067764e-12
sub-010,11,2.1936811249257686e-10,2.45276187019216e-11,1.926456936355244e-11,1.641257727424322e-11,3.1639064755785026e-12
sub-010,5,2.2050044976817532e-10,2.482255562056374e-11,9.902562771482191e-12,1.357535542001209e-11,6.284981726032572e-12
sub-010,6,2.178389699868257e-10,2.4328350175547354e-11,9.952588885227356e-12,1.4710023326587495e-11,9.423340456239486e-12
sub-010,15,2.1987122087392086e-10,2.4932636746582587e-11,1.1555417709801823e-11,1.3840403579984175e-11,6.098707983067083e-12
sub-010,16,2.2026259787781318e-10,2.5230959328941797e-11,1.3937735194086287e-11,1.9730392176517253e-11,1.2213818323656491e-11
sub-010,17,2.1850674657457059e-10,2.4578781749395425e-11,1.637474316191928e-11,1.3862137734624264e-11,4.043580145655849e-12
sub-010,18,2.1967096056760732e-10,2.5550110424887927e-11,2.4113818712988848e-11,1.840192053425772e-11,4.233633971584432e-12
sub-010,9,2.200619421746853e-10,2.3698635559720256e-11,8.553191454684734e-12,9.925597769406425e-12,2.993517320825716e-12
sub-010,2,2.1729400806901767e-10,2.3362100240591328e-11,7.860480205557224e-12,8.947857839565914e-12,2.275549532077941e-12
sub-010,14,2.2474958027928362e-10,2.326583525789973e-11,9.3454324783024e-12,1.0436427450434671e-11,2.418547326097201e-12
sub-011,7,1.768655769944024e-09,2.3444902093667247e-10,1.4414693800719502e-10,2.968157655437713e-10,6.709920056580167e-11
sub-011,8,2.4570260918461152e-09,2.7613332802427105e-10,1.6730407797420351e-10,3.108302490777889e-10,6.404473926316925e-11
sub-011,3,9.070255735052267e-10,2.830885814401005e-10,1.7806327111002155e-10,3.1951547477197314e-10,4.823461359856702e-11
sub-011,4,1.014215719852361e-09,2.660607300618772e-10,1.6261960903033946e-10,2.948980829933565e-10,5.6693846675935824e-11
sub-011,0,8.918004550528266e-10,2.7744453594633243e-10,1.7016765218345272e-10,2.9286498014857303e-10,3.922740109154287e-11
sub-011,1,9.743399302481782e-10,2.734658619165035e-10,1.6669601697086732e-10,2.9415799529368076e-10,4.343659896073383e-11
sub-011,12,9.909016361861872e-10,3.0434868844611257e-10,1.9414026727543992e-10,3.006065916196058e-10,3.425769938848015e-11
sub-011,13,2.688959720238303e-09,7.393833869951204e-10,2.8686251881837667e-10,4.73814219203242e-10,9.003879562006551e-11
sub-011,10,8.836029099458225e-10,2.835209714271582e-10,1.8439359345331524e-10,2.83774941915575e-10,4.453123260117764e-11
sub-011,11,1.068844055414599e-09,3.6252592632514715e-10,2.4912980897132706e-10,3.7601539641625007e-10,3.685049116576699e-11
sub-011,5,9.39528340014627e-10,2.9365183058920907e-10,1.8257782707687036e-10,3.100105837042526e-10,5.048412554971892e-11
sub-011,6,1.2724319611623802e-09,3.0566304645778767e-10,1.8699081611732068e-10,3.2166245487812433e-10,5.049393985375622e-11
sub-011,15,1.1279901937773666e-09,3.5815401518182277e-10,2.16708593366564e-10,3.591514585197557e-10,5.4283575946192136e-11
sub-011,16,9.325757675494926e-10,3.169289511467474e-10,1.876718256993648e-10,3.0819079048448217e-10,5.279896774322361e-11
sub-011,17,9.910177693095531e-10,3.4329938946838215e-10,2.1584855025111126e-10,3.4121390987228186e-10,4.3151754226567845e-11
sub-011,18,1.2850191870499219e-09,4.0664495453876554e-10,2.300533565808356e-10,3.288130262507833e-10,4.119766033558107e-11
sub-011,9,1.2249483815474676e-09,3.497374127222709e-10,1.8820869248531155e-10,3.18043482785159e-10,4.1198873047020396e-11
sub-011,2,1.0735326008896215e-09,2.684386704436595e-10,1.678042245128735e-10,2.808551858330378e-10,4.396072509492252e-11
sub-011,14,1.3820569058058371e-09,4.3718789234325536e-10,2.0057998099720527e-10,3.3155202166049204e-10,5.0930413054689716e-11
sub-012,7,2.017910179027425e-09,3.655571726457297e-10,1.1973528115066392e-10,2.504835468390646e-10,5.453520904548059e-11
sub-012,8,2.6210911722349867e-09,3.753093565654512e-10,1.3102551894542786e-10,2.6794972380303947e-10,6.024768431911309e-11
sub-012,3,1.88831631771287e-09,3.5138750724075356e-10,1.1981264270773019e-10,2.425563076844033e-10,5.7867208401633824e-11
sub-012,4,2.0880602275692193e-09,3.5147097198332926e-10,1.2299687294472755e-10,2.521486305312294e-10,5.563629710283423e-11
sub-012,0,2.0477809206313676e-09,2.8718913470295886e-10,9.343992863158803e-11,2.0029295134829248e-10,5.677926430837549e-11
sub-012,1,1.905244750839567e-09,3.5682443453188233e-10,1.2028376208134064e-10,2.227547474635192e-10,5.6416027864573e-11
sub-012,12,5.355819365171325e-09,1.1201271275346014e-09,2.7290460050360987e-10,3.81231542256569e-10,7.922053656844794e-11
