Subject,Channel,Mean,Variance,Skewness,Kurtosis,Hjorth_Mobility,Hjorth_Complexity
sub-007,F8,-4.27E-05,6.17E-09,-0.204282418,0.273568828,0.106710382,13.94784317
sub-007,T3,-2.02E-05,6.16E-09,0.149787981,0.572281457,0.104471744,14.10590721
sub-007,T4,-4.49E-05,5.81E-09,0.196088205,0.412006037,0.105535276,14.03783998
sub-007,T5,3.75E-05,5.10E-09,0.559351782,1.406181275,0.109158943,13.7327098
sub-007,T6,1.42E-05,4.77E-09,0.18113039,0.136403178,0.112991605,12.64538891
sub-007,Fz,2.91E-07,5.77E-09,0.459565365,0.493526951,0.100743479,14.86217268
sub-007,Cz,-4.66E-05,5.52E-09,0.087089371,-0.098576563,0.103244244,14.69542214
sub-007,Pz,-1.85E-05,6.84E-09,-0.274616756,0.911432895,0.089679477,16.72729672
sub-008,Fp1,3.39E-05,8.43E-07,0.844944565,7.129483798,0.021546195,47.60472569
sub-008,Fp2,0.000155452,9.20E-07,1.020514404,6.880229136,0.020283089,49.74069512
sub-008,F3,0.000178458,8.48E-07,0.777101136,7.063407461,0.020994035,48.35620705
sub-008,F4,0.000199057,8.08E-07,0.769632312,7.356262012,0.021336439,46.13679195
sub-008,C3,0.000122206,8.10E-07,0.898291019,7.296323993,0.021494762,47.21608194
sub-008,C4,0.000113151,8.56E-07,0.788315811,7.124344344,0.020996171,47.33448477
sub-008,P3,0.000337921,8.19E-07,1.014390084,7.061233908,0.020860687,46.96897447
sub-008,P4,0.000170899,1.19E-06,1.620733419,8.793608275,0.132526143,7.962812139
sub-008,O1,2.81E-05,8.74E-07,1.136841852,9.346418318,0.019905593,47.25858587
sub-008,O2,9.21E-05,7.94E-07,0.898858864,8.257884933,0.020415934,45.39707959
sub-008,F7,0.000268875,1.23E-06,-0.042202117,3.853068829,0.018265318,57.18227284
sub-008,F8,0.000442703,8.33E-07,0.952053715,6.864372741,0.021816975,46.61801539
sub-008,T3,0.000228469,8.27E-07,0.932025959,6.744921768,0.02053409,47.53790547
sub-008,T4,0.000170792,1.19E-06,-0.02199605,3.998096564,0.017865801,53.49993449
sub-008,T5,0.000147724,8.51E-07,0.853201686,6.482011778,0.019962292,48.43126743
sub-008,T6,0.000451722,8.38E-07,0.748311093,6.681324908,0.020418467,46.99950015
sub-008,Fz,7.18E-05,7.71E-07,0.915948441,7.278779966,0.021856376,45.9026644
sub-008,Cz,0.000168111,8.26E-07,0.977224867,7.026602337,0.021122407,47.37608463
sub-008,Pz,0.000197419,8.29E-07,1.139006767,7.924715165,0.020487349,46.87270647
sub-009,Fp1,-4.75E-05,7.20E-09,-0.036499498,0.149495124,0.104585204,12.57898408
sub-009,Fp2,-8.86E-05,4.44E-08,-2.893966446,12.45466911,0.043351845,29.36914686
sub-009,F3,6.05E-05,7.08E-09,-0.279135151,-0.078633821,0.10023913,13.38929139
sub-009,F4,-5.42E-05,5.73E-09,-0.032938435,0.058310229,0.125982838,9.88229156
sub-009,C3,6.39E-05,3.79E-09,-0.058046478,-0.024770807,0.135726396,9.952636
sub-009,C4,-7.21E-05,3.86E-09,0.045881339,-0.083376254,0.128353346,10.00970272
sub-009,P3,1.93E-05,5.86E-09,-0.282795382,-0.045688782,0.107093659,12.54038098
sub-009,P4,7.95E-05,5.59E-09,0.10339682,-0.148478435,0.108989218,12.05263487
sub-009,O1,4.79E-05,9.50E-09,0.740781407,0.455537519,0.088210232,15.37883833
sub-009,O2,9.03E-06,4.38E-09,-0.019047111,-0.254400395,0.121328756,10.34595242
sub-009,F7,1.57E-05,4.52E-09,-0.016201342,-0.124571094,0.129096434,9.954751039
sub-009,F8,1.09E-05,5.29E-09,-0.121354383,-0.052601519,0.133192197,9.688028929
sub-009,T3,-8.15E-06,4.47E-09,-0.083464302,-0.028388104,0.131780797,10.25476296
sub-009,T4,-3.75E-06,4.41E-09,-0.163074557,0.025929108,0.197723308,6.241486807
sub-009,T5,5.78E-05,4.47E-09,-0.028998448,-0.21733952,0.129130774,10.35512584
sub-009,T6,-1.83E-05,5.94E-09,-0.105322529,-0.231162627,0.114349854,11.7271736
sub-009,Fz,-4.00E-06,4.05E-09,-0.080602541,0.078736063,0.135027591,9.770524561
sub-009,Cz,-5.07E-05,5.57E-09,0.011347101,-0.249044469,0.111669197,12.14854313
sub-009,Pz,3.32E-05,4.01E-09,-0.0299144,-0.179721508,0.125279114,10.57524805
sub-010,Fp1,2.25E-05,6.72E-09,0.146905654,0.164159778,0.136199645,10.22051471
sub-010,Fp2,-4.54E-05,6.63E-09,0.184702959,0.140182928,0.14224058,9.9800325
sub-010,F3,4.56E-05,6.55E-09,0.055063276,-0.231878174,0.133646684,10.7260807
sub-010,F4,1.54E-05,5.15E-09,0.02732775,0.005953572,0.153441892,9.299835302
sub-010,C3,-5.45E-05,6.61E-09,-0.263173075,-0.000491411,0.128381841,11.17155787
sub-010,C4,5.07E-05,6.47E-09,0.265185659,0.071959314,0.132293158,10.90492901
sub-010,P3,9.42E-05,9.96E-09,0.38482875,-0.242631761,0.100810947,14.41137109
sub-010,P4,-5.80E-06,5.68E-09,0.198753332,-0.053695476,0.140284108,10.31088855
sub-010,O1,7.80E-05,5.93E-09,0.145100695,-0.185854956,0.133896654,10.9658266
sub-010,O2,6.21E-06,1.90E-08,0.740079173,0.147622064,0.072086095,20.02137164
sub-010,F7,9.87E-05,7.03E-09,0.006114183,-0.166796534,0.137299257,10.25704227
sub-010,F8,4.99E-05,5.35E-09,0.067568571,-0.144420399,0.199498216,7.223777371
sub-010,T3,-8.12E-05,5.41E-09,0.008794515,-0.034662932,0.159230655,8.991056059
sub-010,T4,4.97E-05,5.30E-09,0.114671481,-0.024051695,0.176751938,7.832579447
sub-010,T5,-8.36E-05,4.17E-09,-0.010113947,0.013163607,0.171318924,8.314967992
sub-010,T6,4.67E-05,5.37E-09,0.069016988,-0.105148488,0.149262701,9.79144913
sub-010,Fz,-9.87E-05,4.29E-09,-0.010696856,-0.097609632,0.159242221,8.879821728
sub-010,Cz,7.63E-05,6.63E-09,0.116489514,-0.183404529,0.121987695,11.81129602
sub-010,Pz,2.84E-05,4.81E-09,0.062904986,0.066965099,0.141679347,10.0945125
sub-011,Fp1,-0.000868595,4.53E-07,1.912471429,8.06674387,0.02777521,49.18001302
sub-011,Fp2,-1.62E-05,8.61E-07,2.493165268,5.995360287,0.02008543,67.84208363
sub-011,F3,5.66E-05,3.01E-07,4.815757335,23.68010886,0.027255252,47.32525539
sub-011,F4,9.39E-05,3.25E-07,4.478507778,20.04140938,0.032087339,42.34251248
sub-011,C3,0.000147837,2.91E-07,4.938195044,24.53136068,0.025925282,51.56373519
sub-011,C4,7.72E-05,2.93E-07,4.97699908,24.51155274,0.025647917,50.34978738
sub-011,P3,0.00014715,3.13E-07,4.638880617,22.07830778,0.023801665,54.58216828
sub-011,P4,0.000132628,6.81E-07,-0.260528621,11.03754085,0.017791012,62.87738999
sub-011,O1,7.44E-05,2.93E-07,4.840678386,23.75029892,0.031712778,42.28787645
sub-011,O2,0.000101406,3.91E-07,3.890958793,15.08883088,0.022240952,57.36046332
sub-011,F7,6.10E-05,3.09E-07,4.788598045,23.48132439,0.028857867,45.06470322
sub-011,F8,0.000298695,3.67E-07,3.735116387,14.39121495,0.03153443,44.23898085
sub-011,T3,-4.61E-05,3.38E-07,3.706125809,17.13174761,0.02716632,47.71832738
sub-011,T4,7.70E-05,2.97E-07,4.880124688,24.06384476,0.028892507,43.93405255
sub-011,T5,0.00016895,3.86E-07,3.997430077,16.50252856,0.022316715,57.70499519
sub-011,T6,0.000125835,3.54E-07,4.221952787,18.26404779,0.025023259,49.53058264
sub-011,Fz,9.73E-05,3.13E-07,4.826845354,23.4669364,0.023099677,53.482522
sub-011,Cz,0.000108734,2.97E-07,4.849104249,23.47227456,0.024480583,48.23821342
sub-011,Pz,0.000282484,3.50E-07,4.396766893,20.99876693,0.023457099,51.80074747
sub-012,Fp1,-9.09E-05,2.49E-07,2.14020455,13.87932729,0.03961473,30.19557183
sub-012,Fp2,0.000215756,3.56E-07,1.924732978,9.895192046,0.032934058,36.15276167
sub-012,F3,-2.55E-05,2.91E-07,2.076291538,12.49161378,0.036648485,32.92282363
sub-012,F4,-0.000259065,3.78E-07,0.532159263,9.522158753,0.031885858,37.1706886
sub-012,C3,8.30E-05,2.89E-07,4.424870906,20.88348599,0.035543382,34.13389261
sub-012,C4,0.000119236,3.22E-07,3.627924551,21.50521494,0.032597321,37.161948
sub-012,P3,-3.99E-05,7.09E-07,-0.298050942,7.593741679,0.023305627,50.06298568
sub-012,P4,-0.000175988,3.65E-07,2.95370098,14.99512816,0.030542628,39.98239828
sub-012,O1,-0.000366828,7.45E-07,0.131548974,7.758548252,0.208318873,4.931225204
sub-012,O2,-9.68E-05,5.91E-07,2.547301265,9.399783325,0.029020043,37.85536321
sub-012,F7,-0.000212679,3.76E-07,2.384836682,12.11827428,0.0313071,39.312185
sub-012,F8,9.39E-05,3.54E-07,2.242597203,11.15162113,0.033286489,36.01269645
sub-012,T3,0.000140751,3.75E-07,1.86390374,15.14966482,0.032407165,36.87138273
sub-012,T4,1.20E-05,4.63E-07,1.197517578,5.664064415,0.028216504,42.37733051
sub-012,T5,-4.21E-05,7.34E-07,1.207269448,7.993188798,0.198035407,5.122444122
sub-012,T6,-3.50E-05,2.59E-07,2.522921145,15.66651869,0.038175915,31.29261876
sub-012,Fz,-3.59E-05,2.97E-07,2.319238223,12.36147396,0.034725872,35.01260453
sub-012,Cz,-0.000140104,5.63E-07,1.458583913,6.823402557,0.023845979,52.17129941
sub-012,Pz,-3.69E-05,3.54E-07,2.908255837,15.17234371,0.031287387,38.45838526
sub-013,Fp1,-2.78E-05,8.56E-08,5.839058229,64.34699685,0.031405859,36.04043229
sub-013,Fp2,-8.78E-05,7.74E-08,6.643989793,78.28190571,0.034997444,35.13750255
sub-013,F3,-0.000104978,1.69E-08,-1.772305426,43.93671062,0.065781741,17.70471874
sub-013,F4,0.000126829,3.87E-08,0.97476227,47.93315332,0.045717223,25.07458202
sub-013,C3,-4.56E-05,1.33E-08,-2.159011886,71.33131592,0.069815495,15.86179979
sub-013,C4,4.34E-05,1.29E-08,3.812021663,62.77197952,0.071288197,15.20703716
sub-013,P3,-0.000194865,1.45E-07,2.714572377,38.88361603,0.021396927,51.31358338
sub-013,P4,-1.51E-05,1.68E-08,-0.330314238,62.0186794,0.063847916,16.47512133
sub-013,O1,-1.22E-05,8.35E-08,5.885467597,63.03113119,0.028457671,38.85479446
sub-013,O2,-0.00021191,4.84E-08,1.49134915,14.99060991,0.037765643,28.10854797
sub-013,F7,0.000111104,5.43E-08,4.562539076,51.21829531,0.044711944,26.89540183
sub-013,F8,2.72E-05,2.98E-08,6.338748795,118.2085054,0.068807074,19.15761101
sub-013,T3,6.98E-05,1.02E-07,-2.248205955,8.186189334,0.03003197,39.51437926
sub-013,T4,0.000151623,3.66E-08,2.77487452,23.16027938,0.051016221,22.00074086
sub-013,T5,-0.00021486,2.44E-07,-4.801677653,24.82518265,0.023209014,46.75563132
sub-013,T6,4.59E-05,3.78E-08,1.176278496,87.90620642,0.0449369,23.32280076
sub-013,Fz,-0.000186664,1.63E-08,-0.805866662,38.11285584,0.063583667,18.02825884
sub-013,Cz,2.37E-05,5.24E-08,-1.231322507,6.585179049,0.035458244,31.86846001
sub-013,Pz,2.18E-05,7.35E-08,6.175558195,66.19456721,0.030053337,35.21359341
sub-014,Fp1,0.000121661,8.06E-07,1.313801821,8.392929109,0.019715584,57.40714782
sub-014,Fp2,0.000223014,1.06E-06,1.238278108,4.926924311,0.184336137,5.724665226
sub-014,F3,9.31E-05,7.54E-07,0.999330188,8.768307919,0.019264725,56.00499332
sub-014,F4,0.000440571,9.45E-07,0.897342526,3.464527959,0.016909429,64.42274928
sub-014,C3,6.02E-05,7.46E-07,1.033774117,8.946374248,0.021022439,52.54383462
sub-014,C4,0.000124992,6.95E-07,0.767759604,9.151640558,0.022104739,49.96512287
sub-014,P3,0.000122159,7.35E-07,0.92976408,8.916801384,0.023107205,49.20658149
sub-014,P4,3.27E-05,7.42E-07,0.893806564,8.968262059,0.019714435,55.29450707
sub-014,O1,0.000158527,6.97E-07,0.860949805,8.681399639,0.019553196,55.6267509
sub-014,O2,-6.26E-05,8.26E-07,1.095203658,6.611657565,0.018791008,59.40636102
sub-014,F7,0.000290403,7.31E-07,0.995364963,8.484364526,0.021376294,53.1144877
sub-014,F8,0.000196192,7.74E-07,1.001262665,8.237630893,0.019277523,58.1820614
sub-014,T3,0.000240655,7.53E-07,0.934887069,8.777375131,0.020749234,54.09640843
sub-014,T4,7.03E-05,7.25E-07,0.81107688,8.60387486,0.019619804,54.5062514
sub-014,T5,0.000152584,7.29E-07,0.917838086,8.940407224,0.021964006,51.06600995
sub-014,T6,0.000407736,7.04E-07,0.586224351,7.762584153,0.019253236,54.32813721
sub-014,Fz,0.000254188,7.01E-07,0.811130686,8.885437591,0.021161858,52.66659896
sub-014,Cz,0.00015614,7.36E-07,1.008085165,8.968822651,0.020940665,52.52570158
sub-014,Pz,5.69E-05,7.11E-07,0.913511718,8.938636506,0.023213537,49.52452059
sub-015,Fp1,-4.26E-05,1.09E-08,0.469730611,2.034617744,0.128490944,8.903058058
sub-015,Fp2,-9.57E-05,4.65E-08,9.053686813,121.2185335,0.060903501,18.52805799
sub-015,F3,-3.05E-05,9.03E-09,0.186748983,0.373860975,0.138709502,8.359604598
sub-015,F4,0.00011319,9.49E-09,0.034662048,0.083007052,0.131137906,8.612323872
sub-015,C3,-1.27E-05,8.70E-09,0.200368195,0.295607605,0.137156075,8.276599282
sub-015,C4,1.54E-05,8.42E-09,-0.177712393,0.405284149,0.136946592,8.093549678
sub-015,P3,0.000265058,6.73E-08,0.923271878,0.299376656,0.048843099,23.25111065
sub-015,P4,8.90E-05,9.93E-09,-0.051933426,-0.099887934,0.125406756,8.878771898
sub-015,O1,4.74E-05,1.06E-08,-0.029526615,-0.157052148,0.122951185,9.058815331
sub-015,O2,-0.000113234,9.67E-09,-0.003373858,0.192655595,0.128216394,8.717778644
sub-015,F7,1.32E-05,1.52E-08,0.292678694,2.997536742,0.107147254,10.83838478
sub-015,F8,-3.76E-05,8.96E-09,-0.001719408,0.246591379,0.133342883,8.426305394
sub-015,T3,-4.16E-06,8.94E-09,0.110417367,0.300679083,0.137072407,8.334289963
sub-015,T4,2.57E-05,1.01E-08,0.219834709,0.101411954,0.127952654,8.708477712
sub-015,T5,-7.04E-05,1.05E-08,0.203362263,0.051451976,0.125805703,9.022198839
sub-015,T6,0.00029446,2.64E-08,0.619323379,0.152660209,0.078015845,14.22912836
sub-015,Fz,-1.83E-05,1.02E-08,0.116627403,0.20159387,0.125750198,9.021521309
sub-015,Cz,-5.51E-05,9.33E-09,0.196855138,0.219614254,0.131229168,8.629433756
sub-015,Pz,0.000125151,7.53E-08,2.38227981,6.81925877,0.045506439,24.42487309
sub-016,Fp1,-0.00016261,5.41E-08,-3.059705347,32.88869957,0.050285684,23.26571289
sub-016,Fp2,-0.00010186,6.04E-08,-3.720975246,38.73676289,0.047261242,24.58837493
sub-016,F3,-0.000245757,1.27E-07,-2.050905073,9.330045203,0.032715399,35.46426916
sub-016,F4,1.96E-05,5.13E-08,-5.226743626,55.59270797,0.050535537,22.42305741
sub-016,C3,-3.94E-05,5.66E-08,4.759185474,49.28823859,0.047734698,24.11637865
sub-016,C4,4.32E-05,5.45E-08,-4.465319297,45.74799003,0.048646122,23.21057344
sub-016,P3,6.60E-06,5.86E-08,-1.286770882,32.67339487,0.046780795,24.76812814
sub-016,P4,-2.80E-06,1.02E-07,0.399203907,33.36500772,0.035360864,32.00577205
sub-016,O1,9.83E-05,9.09E-08,-1.907016776,19.36408027,0.03774168,30.03818991
sub-016,O2,-0.00021777,1.25E-07,1.614511996,36.10708551,0.032310312,35.18973452
