Subject,Channel,Delta,Theta,Alpha,Beta,Gamma
sub-005,Fp1,5.174969941785451e-10,3.9459843851918404e-11,1.2232935513813243e-11,2.4969774397361427e-11,1.222655765725727e-11
sub-005,Fp2,4.053025484784511e-10,3.967408291760265e-11,1.2282031441752979e-11,2.4159598921440226e-11,1.4080000433826322e-11
sub-005,F3,3.0738200574790876e-10,3.727232702326857e-11,1.2221172202025349e-11,1.664817168434346e-11,6.0335498734027375e-12
sub-005,F4,3.5229568746788227e-10,3.9940055653318104e-11,1.2750494546921538e-11,1.6643621883237676e-11,5.687980562597108e-12
sub-005,C3,2.604949397139758e-10,3.066034693398351e-11,9.370431235839341e-12,1.0501920204739187e-11,2.7337881063417057e-12
sub-005,C4,2.592395221976027e-10,3.081449701984151e-11,9.208622472886665e-12,1.0231795213286505e-11,2.6699732497479474e-12
sub-005,P3,2.8070437742435344e-10,3.2368235776150906e-11,1.0941432022458643e-11,1.1848723974234452e-11,3.158315475791051e-12
sub-005,P4,2.675463083743256e-10,3.1674408998177305e-11,1.0683218954031219e-11,1.2157020187509019e-11,2.9149946743174526e-12
sub-005,O1,2.8539265410753423e-10,3.5066415837794464e-11,1.3451714162621261e-11,1.6060659482189063e-11,4.621697139745154e-12
sub-005,O2,2.715168979806613e-10,3.3725106105006057e-11,1.3636702824506519e-11,1.7044144473069062e-11,5.097136685764543e-12
sub-005,F7,3.541493941983862e-10,3.8939782465866015e-11,1.2521179821047076e-11,2.188113890917305e-11,1.406120482646439e-11
sub-005,F8,3.218979855971703e-10,4.164426209143878e-11,1.3071698061477454e-11,1.7328315017545357e-11,7.308280023682435e-12
sub-005,T3,2.7498057104142e-10,3.843053241344443e-11,1.2058455264640295e-11,2.135796908480525e-11,1.4822990238383156e-11
sub-005,T4,2.677969461746737e-10,3.738160057568572e-11,1.1720934370316303e-11,1.5343558924756247e-11,6.3422149305580025e-12
sub-005,T5,2.7362229726708696e-10,3.7342838283569806e-11,1.3924953567030029e-11,1.550397431898073e-11,4.720729497077703e-12
sub-005,T6,2.648365692916127e-10,3.4302389416317155e-11,1.2807240945220666e-11,1.569907291037826e-11,4.651946675541897e-12
sub-005,Fz,2.7088743060846125e-10,3.123905137893714e-11,9.868658858539343e-12,1.1661610072611613e-11,2.6785514803010812e-12
sub-005,Cz,2.669734925287456e-10,2.98168779581472e-11,8.974860801396047e-12,1.0149435297481895e-11,2.1244530241823954e-12
sub-005,Pz,2.653296979042562e-10,3.0561233894829294e-11,1.0110458011361467e-11,1.1252543248453353e-11,2.7772193265215864e-12
sub-006,Fp1,2.9734889825196613e-10,3.1143532559727477e-11,5.896941199188458e-11,2.8419109715580716e-11,8.917604150237189e-12
sub-006,Fp2,2.8491978990961235e-10,3.035863835271546e-11,5.916105757787828e-11,2.6443661835407626e-11,5.740275428405296e-12
sub-006,F3,2.539101467063779e-10,2.7150630352909176e-11,4.043980114866791e-11,2.4030138817314835e-11,8.917875811735706e-12
sub-006,F4,2.5094201817529837e-10,2.7067079118058607e-11,3.6776202532102126e-11,2.1987260085975684e-11,4.427487185466261e-12
sub-006,C3,2.463085122983872e-10,2.423472280734011e-11,1.2426127253323838e-11,1.3928499657256255e-11,2.4659753771920465e-12
sub-006,C4,2.4499893034370835e-10,2.455801436209663e-11,1.2854557940768095e-11,1.4067674218168689e-11,2.407966156208056e-12
sub-006,P3,2.4991481579691507e-10,2.727895151681505e-11,5.812489471370447e-11,1.908547769353695e-11,2.5311056521515368e-12
sub-006,P4,2.4895564680750537e-10,3.0460429686287946e-11,6.041629888025e-11,1.897675491966615e-11,3.026152322592014e-12
sub-006,O1,2.5299813769444724e-10,3.228177843829927e-11,7.933595463073319e-11,2.169118214228568e-11,3.946862927849814e-12
sub-006,O2,2.5443794956938794e-10,3.1169781354722134e-11,5.286609112862309e-11,1.820381800480305e-11,4.133476076426724e-12
sub-006,F7,2.6405517556258464e-10,3.0851632806838116e-11,5.6077716479688954e-11,2.863212108846281e-11,1.6301430380262423e-11
sub-006,F8,2.6316413465684636e-10,2.9554404428481057e-11,5.752162215579401e-11,2.299695670234006e-11,5.432522385908944e-12
sub-006,T3,2.540573803895087e-10,2.7396874954773938e-11,3.336106146130776e-11,2.21541830795806e-11,8.521190390239969e-12
sub-006,T4,2.539080503826852e-10,2.700394443759082e-11,3.175973372315826e-11,1.813665255008194e-11,4.247289656492434e-12
sub-006,T5,2.5210520033846007e-10,2.911317388065859e-11,3.912469118340395e-11,1.9317005373328473e-11,4.355663290851848e-12
sub-006,T6,2.5135281696479704e-10,3.1021509872949936e-11,4.069655126453896e-11,1.9540362289507702e-11,4.304952515928739e-12
sub-006,Fz,2.525686977614905e-10,2.6718491628018137e-11,3.908519444073436e-11,2.0376244690457133e-11,2.7773972217931664e-12
sub-006,Cz,2.4714717153045446e-10,2.417230151647999e-11,9.200335873864545e-12,1.200485008727618e-11,2.128169511572487e-12
sub-006,Pz,2.4805891351619323e-10,2.6092872982445646e-11,5.302315873982159e-11,1.5982250522803156e-11,2.2540246857739237e-12
sub-007,Fp1,3.466889891726892e-10,4.455286882998366e-11,1.1305190417791098e-11,1.4179265549940823e-11,5.560591355624457e-12
sub-007,Fp2,3.594653589016418e-10,4.3794939263135077e-11,1.1519965596052346e-11,1.5585834855110932e-11,6.48935453876761e-12
sub-007,F3,2.5496008386388116e-10,3.422308910855522e-11,1.0072601514424534e-11,1.2898928016847703e-11,5.256690591719621e-12
sub-007,F4,2.4870014746371905e-10,3.039722323877608e-11,9.19501107953302e-12,1.1592086505222195e-11,3.7581517250843024e-12
sub-007,C3,2.3354104288049377e-10,2.7641022735564543e-11,8.452761629129291e-12,9.537085219980894e-12,2.4467346205262973e-12
sub-007,C4,2.367547702951132e-10,2.716638011025957e-11,8.212938464050556e-12,9.709021493861406e-12,2.4001094453865112e-12
sub-007,P3,2.4379741006377316e-10,3.392840830331131e-11,9.898235649743568e-12,1.0168365187536261e-11,2.4089304463474004e-12
sub-007,P4,2.4321135969693606e-10,3.004872750812506e-11,9.181860284985044e-12,1.0360617670764005e-11,3.0941300014194462e-12
sub-007,O1,2.463343388371848e-10,3.417524535301969e-11,1.0236790935406484e-11,1.0553825189779014e-11,2.8335497435985955e-12
sub-007,O2,2.4752143153490626e-10,3.2148708970600196e-11,9.90209843994695e-12,1.109573430696685e-11,3.9257554579066635e-12
sub-007,F7,2.739283749524341e-10,3.759020153816378e-11,1.1145425878085461e-11,1.298187793571436e-11,5.373960816411454e-12
sub-007,F8,2.724353342964364e-10,3.552863296125758e-11,1.1050216532380076e-11,1.2447916759788791e-11,3.917455287398636e-12
sub-007,T3,2.573023169267702e-10,3.657195555731466e-11,1.0878095239665438e-11,1.1931867102038098e-11,4.1954891748620025e-12
sub-007,T4,2.533312370725167e-10,3.345047606395357e-11,1.0255687589118726e-11,1.2196907193984412e-11,4.37752326714722e-12
sub-007,T5,2.5252979790855793e-10,3.766174820496933e-11,1.1280861218322275e-11,1.17400987794808e-11,3.571859867569782e-12
sub-007,T6,2.4679490921877117e-10,3.39420197407378e-11,1.045642486393724e-11,1.2228502137976376e-11,5.086799533481552e-12
sub-007,Fz,2.623921079978988e-10,3.697227098288577e-11,9.871725636454265e-12,1.0982928128458547e-11,2.7153104089761467e-12
sub-007,Cz,2.376387141611598e-10,2.7645548779244257e-11,8.672701654601496e-12,9.752313023200695e-12,2.2658533681061233e-12
sub-007,Pz,2.399579127184054e-10,2.7420589154926193e-11,8.318530146575142e-12,8.976946216146636e-12,2.180995410541381e-12
sub-008,Fp1,9.126410981257704e-09,1.5811796180600417e-09,6.396126195564498e-10,4.5940959437458257e-10,1.2334270057328318e-10
sub-008,Fp2,8.67631971844319e-09,1.5728223823160348e-09,6.352019942480276e-10,4.538422187699637e-10,1.200147518944982e-10
sub-008,F3,8.526539090907696e-09,1.5405513724487043e-09,6.2636476453214e-10,4.559421761642448e-10,1.185271434182804e-10
sub-008,F4,8.541311065116212e-09,1.56260383752935e-09,6.295304832361644e-10,4.4306859090708344e-10,1.1353728513248333e-10
sub-008,C3,8.423377971764883e-09,1.5193816336181488e-09,6.189139212375101e-10,4.55789417107938e-10,1.1923053450897558e-10
sub-008,C4,8.4473759291186e-09,1.528594522835778e-09,6.21757837816137e-10,4.5548165556392076e-10,1.1815674464500508e-10
sub-008,P3,8.437767894859693e-09,1.526894701311913e-09,6.182257378627541e-10,4.485801757410767e-10,1.1374356329426672e-10
sub-008,P4,1.5198392227201812e-08,5.073396382421759e-09,1.9219099607871367e-09,1.950117631714569e-09,1.7475245261944078e-09
sub-008,O1,8.78355691460356e-09,1.5443583472653359e-09,6.199542865382964e-10,4.4189117051335997e-10,1.0727116874712984e-10
sub-008,O2,8.591017053852126e-09,1.5414534455967815e-09,6.111215620499143e-10,4.194316738679087e-10,9.975528264116222e-11
sub-008,F7,9.040127867348296e-09,1.6521678802938426e-09,6.645017453455004e-10,4.863402393342949e-10,1.179019747265377e-10
sub-008,F8,8.635510814754844e-09,1.5971823849825389e-09,6.407289040250625e-10,4.3827576717280357e-10,1.1959930952514628e-10
sub-008,T3,8.652200913004963e-09,1.5744989641587e-09,6.239201599940629e-10,4.231842663662774e-10,1.0096828763157123e-10
sub-008,T4,1.0527412873747327e-08,2.349351816424511e-09,7.584770183029351e-10,5.144613589517128e-10,1.2693524446528726e-10
sub-008,T5,8.5135485001959e-09,1.5309121858846982e-09,6.116486424044826e-10,4.3296981781042384e-10,1.0476429950967689e-10
sub-008,T6,8.867705957961223e-09,1.5587511468103328e-09,6.246011705617359e-10,4.3339373603880814e-10,1.0778291042220948e-10
sub-008,Fz,8.63177545646785e-09,1.5607936731443244e-09,6.33648254559817e-10,4.5872757032481207e-10,1.1826355130296984e-10
sub-008,Cz,8.513233945708318e-09,1.5322321150742635e-09,6.233269123735905e-10,4.5682286765555916e-10,1.1748059135349794e-10
sub-008,Pz,8.562847487101787e-09,1.5356779792973553e-09,6.208369107076388e-10,4.4513281708710595e-10,1.1141530109660539e-10
sub-009,Fp1,3.434404116855868e-10,4.606500076711325e-11,3.249738394976446e-11,2.270863576406996e-11,6.1807339187484e-12
sub-009,Fp2,3.4479753968473437e-10,4.528648687442224e-11,3.069678986570163e-11,2.4548946249226495e-11,6.435769818771234e-12
sub-009,F3,2.5426504424487157e-10,4.095317691454397e-11,2.4882668397901182e-11,1.7484809850560644e-11,3.0665725782771355e-12
sub-009,F4,2.5204673167148917e-10,3.715683579243149e-11,1.9749441419880598e-11,1.9434371740831045e-11,6.1273714393796435e-12
sub-009,C3,2.442386578336054e-10,2.8295168989684025e-11,1.1899356683267245e-11,1.166246321806635e-11,2.3343799473261968e-12
sub-009,C4,2.449219778888962e-10,2.892037645265158e-11,1.2579093561866966e-11,1.2051775624464581e-11,2.404017533662274e-12
sub-009,P3,2.4669483289786247e-10,3.0253655793867466e-11,1.6864782134861755e-11,1.3073049488850878e-11,2.4080638437821507e-12
sub-009,P4,2.485924965071322e-10,3.266951675600486e-11,2.9735149485584265e-11,1.4912973148860506e-11,2.636578809810698e-12
sub-009,O1,2.498961968583538e-10,3.255322490046817e-11,2.4913684084116696e-11,1.6485556920423652e-11,3.1039962459869607e-12
sub-009,O2,2.481325237441782e-10,3.2198017867473054e-11,3.4495641751808905e-11,1.6871086153636458e-11,2.866923465234429e-12
sub-009,F7,2.6711616591419974e-10,3.8076629921547514e-11,3.329562500886576e-11,2.032802122243282e-11,5.1638754352986436e-12
sub-009,F8,2.689198346601392e-10,3.7582883056687487e-11,2.887097921068174e-11,2.249605300089766e-11,7.157535295140691e-12
sub-009,T3,2.5402302699431043e-10,3.724623374256193e-11,2.7443865902431433e-11,1.5519150519430145e-11,3.0696038830610653e-12
sub-009,T4,2.52000980855433e-10,3.340368378616873e-11,1.990158909444815e-11,3.311372288012979e-11,2.1593312043401736e-11
sub-009,T5,2.5197043536731305e-10,3.516084062478059e-11,2.4822862575606068e-11,1.7452876511066053e-11,3.6120711993886197e-12
sub-009,T6,2.517754629094189e-10,3.601974934156297e-11,2.9436645964743016e-11,1.8092366469504205e-11,3.876660209498672e-12
sub-009,Fz,2.5430963389009076e-10,5.082358882342324e-11,2.646799197960447e-11,1.771663138623666e-11,2.7408632965815824e-12
sub-009,Cz,2.472501427070006e-10,3.6039284242457054e-11,1.557892401932843e-11,1.2824217423622717e-11,2.242659984486033e-12
sub-009,Pz,2.4526981637467277e-10,2.7608250994155908e-11,1.552980047859855e-11,1.117421194967934e-11,1.952632195400622e-12
sub-010,Fp1,2.4576076902268766e-10,2.4922656453872805e-11,9.314555166453523e-12,1.2807176464887602e-11,5.3224316418279416e-12
sub-010,Fp2,2.422880619596586e-10,2.4635968721523816e-11,9.030525271894907e-12,1.2242555714804801e-11,4.9957467018151026e-12
sub-010,F3,2.1893113084939479e-10,2.3383495562667038e-11,8.208917982352579e-12,1.0496530288051759e-11,3.691472568070563e-12
sub-010,F4,2.1843923187255966e-10,2.3437113347988204e-11,8.22340071206723e-12,1.0599611984759506e-11,3.94072269636111e-12
sub-010,C3,2.1451965355634798e-10,2.2767998222382665e-11,7.397133428636496e-12,9.48846429531221e-12,3.320670876676603e-12
sub-010,C4,2.1441921569356185e-10,2.2716547495168184e-11,7.578481955907715e-12,9.621112699687268e-12,3.5467588634827466e-12
sub-010,P3,2.171183745020819e-10,2.3173557714919754e-11,9.706286428439127e-12,1.0819156968064099e-11,3.1716010431731554e-12
sub-010,P4,2.1682702497275484e-10,2.337336239785387e-11,1.2141579237047373e-11,1.2185837834771644e-11,2.9899905581020045e-12
sub-010,O1,2.1762074724026155e-10,2.3943871454731632e-11,1.7387528230753925e-11,1.4242185113420201e-11,3.2088014132067764e-12
sub-010,O2,2.1936811249257686e-10,2.4527618701921602e-11,1.926456936355244e-11,1.641257727424322e-11,3.1639064755785026e-12
sub-010,F7,2.2050044976817535e-10,2.482255562056374e-11,9.902562771482191e-12,1.357535542001209e-11,6.284981726032572e-12
sub-010,F8,2.1783896998682573e-10,2.4328350175547354e-11,9.952588885227357e-12,1.4710023326587495e-11,9.423340456239486e-12
sub-010,T3,2.1987122087392086e-10,2.4932636746582587e-11,1.1555417709801823e-11,1.3840403579984175e-11,6.098707983067083e-12
sub-010,T4,2.2026259787781318e-10,2.5230959328941794e-11,1.3937735194086287e-11,1.9730392176517253e-11,1.2213818323656493e-11
sub-010,T5,2.185067465745706e-10,2.4578781749395422e-11,1.637474316191928e-11,1.3862137734624264e-11,4.043580145655849e-12
sub-010,T6,2.1967096056760734e-10,2.5550110424887927e-11,2.4113818712988848e-11,1.840192053425772e-11,4.233633971584432e-12
sub-010,Fz,2.2006194217468533e-10,2.3698635559720256e-11,8.553191454684734e-12,9.925597769406425e-12,2.993517320825716e-12
sub-010,Cz,2.1729400806901767e-10,2.336210024059133e-11,7.860480205557224e-12,8.947857839565914e-12,2.275549532077941e-12
sub-010,Pz,2.2474958027928364e-10,2.3265835257899732e-11,9.345432478302399e-12,1.0436427450434671e-11,2.418547326097201e-12
sub-011,Fp1,1.7686557699440242e-09,2.3444902093667247e-10,1.44146938007195e-10,2.9681576554377134e-10,6.709920056580167e-11
sub-011,Fp2,2.457026091846115e-09,2.7613332802427105e-10,1.6730407797420351e-10,3.108302490777889e-10,6.404473926316925e-11
sub-011,F3,9.070255735052268e-10,2.8308858144010054e-10,1.7806327111002155e-10,3.1951547477197314e-10,4.823461359856702e-11
sub-011,F4,1.014215719852361e-09,2.660607300618772e-10,1.6261960903033946e-10,2.9489808299335655e-10,5.669384667593583e-11
sub-011,C3,8.918004550528267e-10,2.7744453594633243e-10,1.7016765218345272e-10,2.9286498014857303e-10,3.9227401091542866e-11
sub-011,C4,9.743399302481784e-10,2.734658619165035e-10,1.6669601697086732e-10,2.941579952936808e-10,4.343659896073383e-11
sub-011,P3,9.909016361861874e-10,3.043486884461126e-10,1.9414026727543992e-10,3.0060659161960585e-10,3.425769938848015e-11
sub-011,P4,2.688959720238303e-09,7.393833869951205e-10,2.8686251881837667e-10,4.73814219203242e-10,9.003879562006551e-11
sub-011,O1,8.836029099458226e-10,2.835209714271582e-10,1.8439359345331524e-10,2.83774941915575e-10,4.4531232601177635e-11
sub-011,O2,1.0688440554145992e-09,3.625259263251472e-10,2.491298089713271e-10,3.760153964162501e-10,3.685049116576699e-11
sub-011,F7,9.39528340014627e-10,2.936518305892091e-10,1.8257782707687033e-10,3.1001058370425266e-10,5.0484125549718915e-11
sub-011,F8,1.2724319611623804e-09,3.056630464577877e-10,1.869908161173207e-10,3.2166245487812433e-10,5.049393985375622e-11
sub-011,T3,1.1279901937773666e-09,3.5815401518182277e-10,2.16708593366564e-10,3.5915145851975573e-10,5.428357594619214e-11
sub-011,T4,9.325757675494926e-10,3.1692895114674746e-10,1.8767182569936482e-10,3.081907904844822e-10,5.279896774322361e-11
sub-011,T5,9.910177693095531e-10,3.432993894683822e-10,2.1584855025111132e-10,3.412139098722819e-10,4.3151754226567845e-11
sub-011,T6,1.2850191870499219e-09,4.066449545387656e-10,2.3005335658083557e-10,3.288130262507833e-10,4.119766033558107e-11
sub-011,Fz,1.2249483815474676e-09,3.4973741272227095e-10,1.8820869248531155e-10,3.1804348278515906e-10,4.1198873047020396e-11
sub-011,Cz,1.0735326008896215e-09,2.684386704436595e-10,1.6780422451287353e-10,2.808551858330378e-10,4.396072509492252e-11
sub-011,Pz,1.3820569058058371e-09,4.3718789234325536e-10,2.0057998099720532e-10,3.3155202166049204e-10,5.093041305468972e-11
sub-012,Fp1,2.0179101790274255e-09,3.655571726457297e-10,1.1973528115066392e-10,2.504835468390646e-10,5.453520904548059e-11
sub-012,Fp2,2.6210911722349867e-09,3.7530935656545114e-10,1.3102551894542789e-10,2.679497238030395e-10,6.02476843191131e-11
